State,No,Question not displayed,Seen but unanswered,Yes
AK,2.0,0.0,0.0,0.0
AL,9.0,18.0,0.0,3.0
AR,10.0,3.0,0.0,0.0
AZ,704.0,689.0,0.0,39.0
CA,513.0,388.0,1.0,53.0
CO,231.0,253.0,0.0,24.0
CT,14.0,3.0,0.0,0.0
DC,42.0,12.0,0.0,2.0
DE,1.0,3.0,0.0,0.0
FL,182.0,228.0,0.0,29.0
GA,202.0,176.0,0.0,22.0
HI,2.0,0.0,0.0,1.0
IA,11.0,3.0,0.0,2.0
ID,17.0,40.0,0.0,4.0
IL,228.0,212.0,0.0,26.0
IN,34.0,27.0,0.0,5.0
KS,40.0,39.0,0.0,4.0
KY,5.0,8.0,0.0,1.0
LA,72.0,91.0,0.0,6.0
MA,154.0,98.0,0.0,12.0
MD,169.0,125.0,1.0,25.0
ME,5.0,5.0,0.0,0.0
MI,179.0,207.0,0.0,20.0
MN,115.0,147.0,0.0,12.0
MO,69.0,61.0,0.0,11.0
MS,2.0,7.0,0.0,1.0
MT,12.0,4.0,0.0,0.0
NC,97.0,122.0,0.0,6.0
ND,1.0,0.0,0.0,0.0
NE,7.0,1.0,0.0,0.0
NH,14.0,22.0,0.0,1.0
NJ,76.0,96.0,0.0,5.0
NM,13.0,5.0,0.0,0.0
NV,66.0,106.0,0.0,12.0
NY,243.0,217.0,0.0,30.0
OH,174.0,189.0,0.0,21.0
OK,5.0,6.0,0.0,0.0
OR,96.0,145.0,0.0,6.0
PA,60.0,28.0,0.0,3.0
PR,1.0,0.0,0.0,0.0
RI,1.0,1.0,0.0,0.0
SC,8.0,10.0,0.0,0.0
SD,2.0,0.0,0.0,0.0
TN,21.0,21.0,0.0,0.0
TX,303.0,285.0,0.0,38.0
UT,109.0,90.0,0.0,11.0
VA,79.0,38.0,0.0,5.0
VT,12.0,2.0,0.0,0.0
WA,86.0,58.0,0.0,1.0
WI,27.0,16.0,0.0,2.0
WV,7.0,8.0,0.0,0.0
WY,1.0,1.0,0.0,0.0
