,state_abbr_now,worker_pre,c1,c2,c3,c4,c5
0,AK,yes,100.0,100.0,0.0,100,0
1,AL,yes,100.0,100.0,0.0,25,25
2,AR,yes,100.0,100.0,0.0,33,0
4,AZ,yes,89.07849829351535,84.30034129692832,-4.778156996587029,16,29
6,CA,yes,87.24489795918367,81.63265306122449,-5.612244897959187,16,28
8,CO,yes,94.73684210526316,86.84210526315789,-7.894736842105274,28,21
10,CT,yes,85.71428571428571,85.71428571428571,0.0,0,42
11,DC,yes,100.0,100.0,0.0,28,42
13,DE,yes,33.333333333333336,33.333333333333336,0.0,0,33
15,FL,yes,72.97297297297297,67.56756756756756,-5.4054054054054035,16,24
17,GA,yes,92.85714285714286,92.85714285714286,0.0,21,50
18,HI,yes,100.0,100.0,0.0,0,100
20,IA,yes,50.0,50.0,0.0,0,50
22,ID,yes,83.33333333333333,83.33333333333333,0.0,0,16
24,IL,yes,86.66666666666667,84.44444444444444,-2.2222222222222285,8,28
26,IN,yes,81.81818181818181,81.81818181818181,0.0,9,45
28,Invalid ZIP,yes,81.25,75.0,-6.25,6,37
29,KS,yes,100.0,100.0,0.0,0,0
31,LA,yes,100.0,100.0,0.0,0,50
33,MA,yes,95.83333333333333,95.83333333333333,0.0,12,27
34,MD,yes,100.0,5.555555555555555,-94.44444444444444,22,38
35,ME,yes,100.0,94.44444444444444,-5.555555555555557,0,0
37,MI,yes,84.21052631578948,15.789473684210526,-68.42105263157896,15,10
39,MN,yes,86.20689655172414,20.689655172413794,-65.51724137931035,13,31
41,MO,yes,85.71428571428571,14.285714285714286,-71.42857142857142,14,28
43,MT,yes,88.88888888888889,11.11111111111111,-77.77777777777777,22,0
44,NC,yes,100.0,88.88888888888889,-11.111111111111114,18,27
45,NE,yes,100.0,100.0,0.0,0,100
46,NH,yes,100.0,100.0,0.0,0,100
48,MS,yes,0.0,0.0,0.0,0,0
50,ND,yes,0.0,0.0,0.0,0,0
51,OK,yes,0.0,0.0,0.0,0,0
53,SD,yes,0.0,0.0,0.0,0,0
55,Non-US,yes,75.0,25.0,-50.0,25,0
57,OH,yes,90.9090909090909,9.090909090909092,-81.81818181818181,9,9
60,OR,yes,92.5925925925926,11.11111111111111,-81.48148148148148,11,37
62,PA,yes,85.71428571428571,17.142857142857142,-68.57142857142857,17,34
63,SC,yes,100.0,82.85714285714286,-17.14285714285714,33,33
65,TN,yes,87.5,12.5,-75.0,37,25
67,TX,yes,95.23809523809524,4.761904761904762,-90.47619047619048,12,28
68,UT,yes,100.0,95.23809523809524,-4.761904761904759,0,25
70,VA,yes,93.75,87.5,-6.25,25,43
72,VT,yes,90.9090909090909,93.75,2.8409090909090935,0,45
74,WA,yes,97.05882352941177,90.9090909090909,-6.1497326203208615,10,33
75,WI,yes,100.0,11.764705882352942,-88.23529411764706,18,27
76,WV,yes,100.0,88.23529411764706,-11.764705882352942,0,100
77,WY,yes,100.0,18.181818181818183,-81.81818181818181,0,0
47,KY,yes,0.0,0.0,0.0,0,0
49,NJ,yes,0.0,0.0,0.0,8,29
52,RI,yes,0.0,0.0,0.0,0,0
