,state_abbr_now,worker_pre,c1,c2,c3,c4,c5
0,AK,yes,100.0,100.0,0.0,0,100
2,AL,yes,50.0,50.0,0.0,50,0
3,AR,yes,100.0,100.0,0.0,0,0
5,AZ,yes,54.0765391014975,45.09151414309484,-8.985024958402661,11,11
7,CA,yes,54.40251572327044,44.339622641509436,-10.062893081761004,12,14
9,CO,yes,56.652360515021456,48.06866952789699,-8.583690987124463,13,10
11,CT,yes,83.33333333333333,83.33333333333333,0.0,0,33
13,DC,yes,53.84615384615385,53.84615384615385,0.0,7,23
16,FL,yes,52.35849056603774,41.509433962264154,-10.849056603773583,10,13
18,GA,yes,60.59113300492611,51.724137931034484,-8.866995073891623,12,20
19,HI,yes,100.0,100.0,0.0,0,50
20,IA,yes,100.0,100.0,0.0,14,28
22,ID,yes,41.1764705882353,29.41176470588235,-11.764705882352946,0,11
24,IL,yes,56.888888888888886,46.666666666666664,-10.222222222222221,10,9
26,IN,yes,65.51724137931035,62.06896551724138,-3.448275862068968,13,17
28,Invalid ZIP,yes,70.0,60.0,-10.0,20,20
30,KS,yes,55.0,42.5,-12.5,12,12
32,KY,yes,33.333333333333336,33.333333333333336,0.0,0,33
34,LA,yes,57.77777777777778,45.55555555555556,-12.222222222222221,7,15
36,MA,yes,64.1025641025641,58.97435897435897,-5.128205128205131,16,17
38,MD,yes,60.8974358974359,53.84615384615385,-7.051282051282051,17,16
40,ME,yes,66.66666666666667,33.333333333333336,-33.333333333333336,0,0
42,MI,yes,54.85436893203884,43.689320388349515,-11.165048543689323,11,11
44,MN,yes,56.2043795620438,48.175182481751825,-8.029197080291972,10,14
46,DE,yes,0.0,0.0,0.0,0,0
48,MO,yes,0.0,0.0,0.0,12,14
50,ND,yes,0.0,0.0,0.0,0,0
51,SD,yes,0.0,0.0,0.0,0,0
53,WY,yes,0.0,0.0,0.0,0,0
55,NJ,yes,42.25352112676056,30.985915492957748,-11.267605633802813,2,7
57,NM,yes,66.66666666666667,66.66666666666667,0.0,0,66
59,NV,yes,47.95918367346939,35.714285714285715,-12.244897959183675,7,9
61,NY,yes,57.142857142857146,48.214285714285715,-8.92857142857143,11,11
63,OH,yes,51.1520737327189,43.77880184331797,-7.373271889400925,8,11
65,OK,yes,50.0,50.0,0.0,50,0
67,OR,yes,49.09090909090909,39.09090909090909,-10.0,8,15
69,PA,yes,71.42857142857143,66.66666666666667,-4.761904761904759,23,14
70,RI,yes,100.0,100.0,0.0,0,0
72,SC,yes,33.333333333333336,33.333333333333336,0.0,0,0
74,TN,yes,80.0,60.0,-20.0,0,0
76,TX,yes,50.87719298245614,43.85964912280702,-7.017543859649116,10,15
78,UT,yes,60.65573770491803,55.73770491803279,-4.918032786885242,12,15
80,VA,yes,71.15384615384616,71.15384615384616,0.0,13,11
81,VT,yes,100.0,100.0,0.0,0,0
83,WA,yes,42.857142857142854,31.428571428571427,-11.428571428571427,5,8
85,WI,yes,66.66666666666667,53.333333333333336,-13.333333333333336,20,13
47,MS,yes,0.0,0.0,0.0,0,0
49,MT,yes,0.0,0.0,0.0,0,0
52,WV,yes,0.0,0.0,0.0,0,0
