,state_abbr_now,worker_pre,c1,c2,c3,c4,c5
0,AL,yes,100.0,100.0,0.0,0,0
3,AZ,yes,50.0,45.65217391304348,-4.347826086956523,10,15
5,CA,yes,71.83098591549296,66.19718309859155,-5.633802816901408,23,21
7,CO,yes,50.0,36.36363636363637,-13.636363636363633,9,4
8,DC,yes,100.0,100.0,0.0,0,66
10,FL,yes,68.42105263157895,52.63157894736842,-15.789473684210527,15,26
12,GA,yes,69.56521739130434,69.56521739130434,0.0,13,21
13,IA,yes,100.0,100.0,0.0,0,0
14,ID,yes,100.0,100.0,0.0,0,100
16,IL,yes,64.51612903225806,58.064516129032256,-6.451612903225808,19,16
17,IN,yes,100.0,50.0,-50.0,0,0
19,Invalid ZIP,yes,66.66666666666667,16.666666666666668,-50.0,16,16
21,KS,yes,66.66666666666667,33.333333333333336,-33.333333333333336,16,16
23,KY,yes,50.0,50.0,0.0,0,0
25,LA,yes,78.57142857142857,35.714285714285715,-42.857142857142854,21,14
27,MA,yes,53.333333333333336,46.666666666666664,-6.666666666666671,20,20
29,MD,yes,77.77777777777777,27.77777777777778,-49.99999999999999,22,11
30,ME,yes,100.0,72.22222222222223,-27.77777777777777,0,100
32,MI,yes,70.0,30.0,-40.0,30,20
34,MN,yes,20.0,73.33333333333333,53.33333333333333,6,6
36,MO,yes,93.75,31.25,-62.5,50,12
38,MT,yes,100.0,100.0,0.0,0,0
40,NC,yes,60.0,40.0,-20.0,10,20
41,ND,yes,100.0,60.0,-40.0,0,0
43,AR,yes,0.0,0.0,0.0,0,0
44,CT,yes,0.0,0.0,0.0,0,0
45,DE,yes,0.0,0.0,0.0,0,0
47,MS,yes,0.0,0.0,0.0,0,0
49,NV,yes,0.0,0.0,0.0,20,30
51,NJ,yes,0.0,0.0,0.0,25,37
53,NY,yes,0.0,0.0,0.0,25,7
55,OK,yes,0.0,0.0,0.0,0,0
57,RI,yes,0.0,0.0,0.0,0,0
60,SC,yes,75.0,55.55555555555556,-19.444444444444443,50,0
61,SD,yes,100.0,100.0,0.0,0,0
63,TN,yes,60.0,75.0,15.0,0,0
65,TX,yes,65.85365853658537,60.0,-5.853658536585371,31,9
67,UT,yes,66.66666666666667,41.46341463414634,-25.203252032520332,20,13
68,VA,yes,100.0,58.53658536585366,-41.46341463414634,42,28
70,WA,yes,20.0,60.0,40.0,0,10
72,WI,yes,33.333333333333336,85.71428571428571,52.38095238095237,0,33
74,WV,yes,33.333333333333336,20.0,-13.333333333333336,0,33
42,AK,yes,0.0,0.0,0.0,0,0
46,HI,yes,0.0,0.0,0.0,0,0
48,NE,yes,0.0,0.0,0.0,0,0
50,NH,yes,0.0,0.0,0.0,0,50
52,NM,yes,0.0,0.0,0.0,0,100
54,OH,yes,0.0,0.0,0.0,21,14
56,OR,yes,0.0,0.0,0.0,5,10
58,VT,yes,0.0,0.0,0.0,0,0
59,WY,yes,0.0,0.0,0.0,0,0
