_id.month,_id.state,employment,employment_men,employment_women,employment_other,prod,prod_men,prod_women,prod_other,jobchange,jobchange_men,jobchange_women,jobchange_other,total_population,total_population_men,total_population_women,total_population_other
5,OR,0,0,0,0,-26.67,-71.43,12.5,0,0,0,0,0,15,7,8,0
4,MN,0,0,0,0,-25,-42.86,-11.11,0,6.25,14.29,0,0,16,7,9,0
7,CA,-9.15,-8.74,-9.49,0,0.44,1.46,-0.4,0,7.63,8.74,6.72,0,459,206,253,0
5,MA,0,0,0,0,5.88,0,16.67,0,5.88,9.09,0,0,17,11,6,0
7,PA,-3.85,0,-6.25,0,19.23,22.22,18.75,0,0,0,0,0,26,9,16,0
6,VT,-100,0,-100,0,0,0,0,0,0,0,0,0,1,0,1,0
9,FL,-1.79,-6.25,0,0,7.14,-12.5,17.95,-100,10.71,12.5,10.26,0,56,16,39,1
7,NH,-5,0,-6.25,0,5,0,6.25,0,5,0,6.25,0,20,4,16,0
4,KY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
9,TX,0,-8.33,3.7,0,2.56,8.33,0,0,17.95,16.67,18.52,0,39,12,27,0
4,MD,0,0,0,0,-50,-50,-50,0,0,0,0,0,8,2,6,0
9,NV,-8.33,0,-12.5,0,-8.33,25,-25,0,25,25,25,0,12,4,8,0
8,GA,-5.95,-2.94,-8,0,1.19,2.94,0,0,4.76,5.88,4,0,84,34,50,0
10,GA,-16.67,0,-33.33,0,-33.33,-33.33,-33.33,0,33.33,33.33,33.33,0,6,3,3,0
8,TX,-8.64,-7.14,-9.43,0,0,21.43,-11.32,0,8.64,14.29,5.66,0,81,28,53,0
7,OR,-13.27,-10,-13.85,-33.33,-5.1,-6.67,-3.08,-33.33,0,0,0,0,98,30,65,3
4,VT,0,0,0,0,-55.56,-50,-75,0,0,0,0,0,9,4,4,0
7,LA,-8.82,5.26,-12.77,-50,-5.88,-15.79,-2.13,0,1.47,5.26,0,0,68,19,47,2
6,GA,0,0,0,0,-33.33,-50,-28.57,0,11.11,0,14.29,0,9,2,7,0
7,VT,0,0,0,0,-100,0,0,0,0,0,0,0,1,0,0,0
10,MO,0,0,0,0,100,100,0,0,0,0,0,0,3,3,0,0
6,MI,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
4,WI,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
5,ID,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,IA,0,0,0,0,11.11,66.67,-16.67,0,11.11,0,16.67,0,9,3,6,0
7,RI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10,MN,-10,0,-16.67,0,0,0,0,0,6.67,0,11.11,0,30,12,18,0
4,ID,0,0,0,0,-20,0,-33.33,0,0,0,0,0,5,2,3,0
6,WA,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
10,PA,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9,CO,0,0,0,0,0,0,0,0,10,0,16.67,0,10,4,6,0
6,NM,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
